"osm_id","amenity","house_number","road","suburb","city_district","district","state","postcode","country","iso3166"
1280189358,"Caringbah Station Pharmacy","","Kingsway","Caringbah","","","New South Wales","2229","Australia","AU-NSW"
4507519427,"","","Glebe Road","Adamstown","","","New South Wales","2289","Australia","AU-NSW"
3861776662,"","","Ernest Cavanagh Street","Gungahlin","","","","2912","Australia","AU-ACT"
2868017525,"Holy family Medical Centre","","New Canterbury Road","Dulwich Hill","","","New South Wales","2203","Australia","AU-NSW"
7694408215,"Saint John of God Murdoch Hospital","","Barry Marshall Parade","Murdoch","","","Western Australia","6150","Australia","AU-WA"
2625841420,"","203-205","Pacific Highway","St Leonards","","","New South Wales","2065","Australia","AU-NSW"
6845698621,"Chemist Warehouse","925","Whitehorse Road","Box Hill","","","Victoria","3128","Australia","AU-VIC"
20979952,"","68-70","Hall Street","Bondi Beach","","","New South Wales","2026","Australia","AU-NSW"
2890600821,"Capital Radiology","","Blyth Street","Brunswick","","","Victoria","3056","Australia","AU-VIC"
2264513067,"Amcal","","Gladstone Street","Fullarton","","","South Australia","5063","Australia","AU-SA"
1083043420,"","","","Oxenford","Oxenford","","Queensland","4210","Australia","AU-QLD"
3239171045,"Fairfield Heights Pharmacy","","The Boulevarde","Fairfield Heights","","","New South Wales","2165","Australia","AU-NSW"
7176556455,"Emu Plains Dentist Care","","Station Street","Emu Plains","","","New South Wales","2750","Australia","AU-NSW"
6294926094,"","10-12","Classic Way","Burleigh Waters","Burleigh Waters","","Queensland","4220","Australia","AU-QLD"
6499483207,"","","Ral Ral Avenue","","","","South Australia","5341","Australia","AU-SA"
3881388125,"Mr William Edwards","","Bridge Road","Richmond","","","Victoria","3121","Australia","AU-VIC"
2958422634,"Southern Clinic","148","Douglas Avenue","South Perth","","","Western Australia","6151","Australia","AU-WA"
1968037352,"","24","Parkinson Street","Weston","","","","2611","Australia","AU-ACT"
5215769360,"","2081","Moggill Road","Kenmore","Kenmore","","Queensland","4069","Australia","AU-QLD"
864315723,"Cambridge Park Chemist","","Oxford Street","Cambridge Park","","","New South Wales","2747","Australia","AU-NSW"
3915717428,"Chermside Pediatric Dental Care","","Gympie Road","Chermside","Chermside","Greater Brisbane","Queensland","4032","Australia","AU-QLD"
6578025067,"Elmore Pharmacy","","Northern Highway","","Elmore","","Victoria","","Australia","AU-VIC"
3803621092,"Coral Coast","","Bargara Road","Bundaberg East","Bundaberg East","","Queensland","","Australia","AU-QLD"
1901944953,"Amcal","","Emerald Street","","Cooroy","","Queensland","4563","Australia","AU-QLD"
5203746976,"Dr Sophy Nuin","","St Johns Avenue","Springvale","","","Victoria","3171","Australia","AU-VIC"
1901660562,"Tocumwal Hospital","","Adams Street","","","","New South Wales","2714","Australia","AU-NSW"
7003503076,"Belconnen Chiropractic Centre","","Belconnen Bikeway","Belconnen","","","","2617","Australia","AU-ACT"
1297861501,"Leigh Creek Hospital","","Black Oak Drive","","","","South Australia","5731","Australia","AU-SA"
1428590330,"Nunawading Pharmacy","128","Springvale Road","Nunawading","","","Victoria","3131","Australia","AU-VIC"
3819971951,"Korumburra Medical Centre","","Randovick Street","","","","Victoria","3950","Australia","AU-VIC"
1749593151,"","","Tennyson Street","Elwood","","","Victoria","3184","Australia","AU-VIC"
3783232384,"","115","Curumburra Road","Ashmore","Ashmore","","Queensland","4214","Australia","AU-QLD"
4101028549,"Nepean Family Medical Centre","320","South Road","Hampton East","","","Victoria","3188","Australia","AU-VIC"
2798568500,"","154","Boundary Street","West End","West End","Greater Brisbane","Queensland","4101","Australia","AU-QLD"
6072857488,"Eatons Quality Medical & Skin Cancer","","Cribb Road","","Brendale","Greater Brisbane","Queensland","4037","Australia","AU-QLD"
634220781,"","","Crawford Street","Queanbeyan","","","New South Wales","2620","Australia","AU-NSW"
734979280,"Tuross Pharmecy","","Evans Road","","","","New South Wales","2537","Australia","AU-NSW"
6387155235,"SelectSkin","","Carrington Road","Coogee","","","New South Wales","2031","Australia","AU-NSW"
6839129772,"Health at Dulwich","","Stuart Road","Dulwich","","","South Australia","5065","Australia","AU-SA"
7027487385,"Myhealth Medical Centre Central Park","28","Broadway","Chippendale","","","New South Wales","2008","Australia","AU-NSW"
5179167152,"","14","Annerley Road","Woolloongabba","Woolloongabba","","Queensland","4102","Australia","AU-QLD"
1645484806,"Seaham Doctor's Surgery","","Warren Street","","","","New South Wales","2324","Australia","AU-NSW"
1072625664,"","483","Macaulay Road","Kensington","","","Victoria","3031","Australia","AU-VIC"
4213481950,"Brunswick Central Medical Centre","","Sydney Road","Brunswick","","","Victoria","3056","Australia","AU-VIC"
2368212857,"McDonald's","44","Hindley Street","Adelaide","","","South Australia","5000","Australia","AU-SA"
2531693168,"Chemist Warehouse","310-314","Clarendon Street","South Melbourne","","","Victoria","3205","Australia","AU-VIC"
4845384325,"","","The Corso","","North Lakes","Greater Brisbane","Queensland","4509","Australia","AU-QLD"
2727982172,"Blooms Chemist Marrickville","","Marrickville Road","Marrickville","","","New South Wales","2204","Australia","AU-NSW"
7530569686,"","70","Robertson Street","Kensington","","","Victoria","3031","Australia","AU-VIC"
6397424324,"Eastwood Pharmacy","","Rowe Street","Eastwood","","","New South Wales","2122","Australia","AU-NSW"
1823938499,"Priceline Pharmacy","","Bussell Highway","","","","Western Australia","6285","Australia","AU-WA"
2509205806,"Currambine Family Practice","","Chesapeake Way","Currambine","","","Western Australia","6028","Australia","AU-WA"
2075767202,"West Pymble Medical Centre","","Binalong Street","West Pymble","","","New South Wales","2073","Australia","AU-NSW"
5389620672,"Rien Dental","","Balcombe Road","Mentone","","","Victoria","3194","Australia","AU-VIC"
3376061307,"Medical Centre","675","High Street","Thornbury","","","Victoria","3071","Australia","AU-VIC"
6297091843,"","","Stud Road","Wantirna South","","","Victoria","3152","Australia","AU-VIC"
5316398566,"Royal Darwin Hospital","","Florey Avenue","Tiwi","","","","0810","Australia","AU-NT"
1558807044,"Jewells Tavern","73","Ntaba Road","Jewells","","","New South Wales","2280","Australia","AU-NSW"
5434235569,"Auburn Healthcare Centre","","Auburn Road","Auburn","","","New South Wales","2144","Australia","AU-NSW"
4220529990,"","","William Street","Rockhampton City","Rockhampton City","","Queensland","4700","Australia","AU-QLD"
594509656,"Coleman Parade Medical Centre","39","Coleman Parade","Glen Waverley","","","Victoria","3150","Australia","AU-VIC"
7502449125,"","109","Hotham Street","","","","Victoria","3844","Australia","AU-VIC"
4845384323,"","","The Corso","","North Lakes","Greater Brisbane","Queensland","4509","Australia","AU-QLD"
7681554069,"","30","Hardgrave Road","West End","West End","Greater Brisbane","Queensland","4101","Australia","AU-QLD"
2331808767,"Bulli District Hospital","","Hospital Road","Bulli","","","New South Wales","2516","Australia","AU-NSW"
4569988320,"Westminster Day Surgery","","Wanneroo Road","Westminster","","","Western Australia","6021","Australia","AU-WA"
2864025779,"Fairfield Medical Centre","","Court Road","Fairfield","","","New South Wales","2165","Australia","AU-NSW"
5688958458,"Medical One - Moorabbin","844","Nepean Highway","Hampton East","","","Victoria","3189","Australia","AU-VIC"
6642751501,"Lum Medical Centre","","Scoresby Road","Boronia","","","Victoria","3155","Australia","AU-VIC"
3983239407,"Chemist Warehouse","","Main Street","","","","Tasmania","7172","Australia","AU-TAS"
1977400723,"The Hobart Clinic","31","Chipmans Road","Rokeby","","","Tasmania","7019","Australia","AU-TAS"
5527150221,"Priceline Pharmacy","","Todd Mall","","","","","0870","Australia","AU-NT"
3134636050,"","","Arnold Street","","Blackwater","","Queensland","4717","Australia","AU-QLD"
2622213001,"Heidelberg dentist","34","Rosanna Road","Heidelberg","","","Victoria","3084","Australia","AU-VIC"
2069023320,"Coonabarabran Chemist","41-43","John Street","","","","New South Wales","2357","Australia","AU-NSW"
2296932756,"Your Health Place","1176","Glen Huntly Road","Glen Huntly","","","Victoria","3163","Australia","AU-VIC"
441046121,"Amcal","","Emu Bay Road","","","","Tasmania","7304","Australia","AU-TAS"
5517711824,"Smile Place","","High Street","Glen Iris","","","Victoria","3146","Australia","AU-VIC"
7244464671,"Chemist Warehouse","","Hillcrest Road","Pennant Hills","","","New South Wales","2120","Australia","AU-NSW"
5272909677,"","31-33","Surf Lane","Cronulla","","","New South Wales","2230","Australia","AU-NSW"
6907720801,"","","Wilsons Road","Newcomb","","","Victoria","3219","Australia","AU-VIC"
2394898826,"","","Tangarra Street","Croydon Park","","","New South Wales","2133","Australia","AU-NSW"
667226013,"","","Southern Cross Access Road","Docklands","","","Victoria","3008","Australia","AU-VIC"
1815437864,"","48-50","Corinna Street","Phillip","","","","2606","Australia","AU-ACT"
1226368471,"Guardian Pharmacy","","Ranford Road","Canning Vale","","","Western Australia","6110","Australia","AU-WA"
4396978689,"Numurkah Medical Centre","","Meiklejohn Street","","","","Victoria","3636","Australia","AU-VIC"
1141353788,"","","Swanston Street","Melbourne","","","Victoria","3000","Australia","AU-VIC"
3788393757,"St Vincent's Hospital","41","Victoria Parade","Fitzroy","","","Victoria","3065","Australia","AU-VIC"
1240734798,"Chemist Warehouse","","Glen Huntly Road","Elsternwick","","","Victoria","3185","Australia","AU-VIC"
5076266000,"Ostopathic Clinic","","Gotha Street","Heidelberg Heights","","","Victoria","3081","Australia","AU-VIC"
2864429538,"","1-5","Kate Way","Hillside","","","Victoria","3037","Australia","AU-VIC"
2629704666,"Moonee Ponds Medical Centre","34-46","Holmes Road","Moonee Ponds","","","Victoria","3039","Australia","AU-VIC"
2647193281,"","","Garrick Street","","Collinsville","","Queensland","4804","Australia","AU-QLD"
1076257736,"","","Beaudesert Road","Calamvale","Calamvale","Greater Brisbane","Queensland","4116","Australia","AU-QLD"
3084580512,"Bathurst Skin Cancer & Cosmedical Clinic","153","Durham Street","Bathurst","","","New South Wales","2795","Australia","AU-NSW"
4550090242,"QML","","Victoria Place","Berserker","Berserker","","Queensland","4701","Australia","AU-QLD"
6744054251,"","","Alexander Street","Collaroy","","","New South Wales","2097","Australia","AU-NSW"
1368557084,"Murray Fry - Amcal Pharmacy","","Manifold Street","","Camperdown","","Victoria","3260","Australia","AU-VIC"
6110272009,"Westside Dental Care","","Ballarat Road Service Road","Deer Park","","","Victoria","3023","Australia","AU-VIC"
5632289723,"","","Bellew Street","Beenleigh","Beenleigh","Greater Brisbane","Queensland","4207","Australia","AU-QLD"
6796578256,"Hopes Pharmacy","","Elizabeth Drive","","","","New South Wales","2540","Australia","AU-NSW"
1121134351,"Brighton-Le-Sands Post Office","354","Bay Street","Brighton-Le-Sands","","","New South Wales","2216","Australia","AU-NSW"
297840787,"Dalby Health Services","","Swann Street","","","","Queensland","4405","Australia","AU-QLD"
6571728070,"","298-302","George Street","Sydney","","","New South Wales","2000","Australia","AU-NSW"
2404991819,"Victoria Street Clinic","","Victoria Street","","","","Tasmania","7315","Australia","AU-TAS"
5565767277,"Quilpie Hospital","30","Gyrica Street","","","","Queensland","4480","Australia","AU-QLD"
2081268850,"Ranford Road Dental Centre","","Jilakin Loop","Canning Vale","","","Western Australia","6110","Australia","AU-WA"
6690853108,"Blue Mountain Dental Centre","","Macquarie Road","","","","New South Wales","2777","Australia","AU-NSW"
2562428890,"Collarenebri Hospital","","George Street","","","","New South Wales","2833","Australia","AU-NSW"
21312754,"","11","James Street","","East Toowoomba","","Queensland","4250","Australia","AU-QLD"
2771575192,"Chemist Warehouse","","Lear Jet Drive","","","Greater Brisbane","Queensland","4510","Australia","AU-QLD"
2452520865,"","13","Bay Road","","","","South Australia","5680","Australia","AU-SA"
6364273026,"Ripponlea Veterinary Hospital","82","Glen Eira Road","Ripponlea","","","Victoria","3185","Australia","AU-VIC"
4066348923,"","149","Centre Dandenong Road","Cheltenham","","","Victoria","3202","Australia","AU-VIC"
726416042,"","","Coulson Street","","Blackbutt","","Queensland","4314","Australia","AU-QLD"
5288364843,"Manning Hospital","30-38","York Street","","","","New South Wales","2430","Australia","AU-NSW"
3123406335,"Berowra Family Medical Practice","","Turner Road","Berowra Heights","","","New South Wales","2082","Australia","AU-NSW"
2039378818,"Friends Pharmacy","231","High Street","Ashburton","","","Victoria","3147","Australia","AU-VIC"
583526125,"Flinders Island Multipurpose Centre","","Davies Street","","","","Tasmania","","Australia","AU-TAS"
5907252076,"","","Heatherton Road","Dandenong","","","Victoria","3174","Australia","AU-VIC"
1447173768,"Cafe Tiffanys","","South Western Highway","","","","Western Australia","6239","Australia","AU-WA"
4013591994,"","","The Parade","Beulah Park","","","South Australia","5067","Australia","AU-SA"
5980632272,"Dr Anh","48","Alfrieda Street","St Albans","","","Victoria","3021","Australia","AU-VIC"
4821718695,"","205-209","Oxford Street","Bulimba","Bulimba","Greater Brisbane","Queensland","4171","Australia","AU-QLD"
2029516847,"Guardian Pharmacy Loganholme","","Bismark Street","","Loganholme","Greater Brisbane","Queensland","4129","Australia","AU-QLD"
2526068105,"Palm Cove Health","","Triton Street","Palm Cove","Palm Cove","","Queensland","4879","Australia","AU-QLD"
4066348919,"Ashwood Medical Group","","Warrigal Road","Ashburton","","","Victoria","3148","Australia","AU-VIC"
5293113243,"","","Howard Street","","Epsom","","Victoria","3551","Australia","AU-VIC"
7081690036,"Doctors Bulk Billing","","Redcliffe Parade","","Redcliffe","Greater Brisbane","Queensland","4020","Australia","AU-QLD"
3270608762,"Horner Chiropractic","","Estevan Way","Ferndale","","","Western Australia","6147","Australia","AU-WA"
4959543506,"Cockatoo Family Medical Practice","1/54","McBride Street","","","","Victoria","3781","Australia","AU-VIC"
7848463922,"SIA Medical Centre","","Hall Street","Moonee Ponds","","","Victoria","3039","Australia","AU-VIC"
5853010234,"","","Deniehy Lane","","","","New South Wales","2580","Australia","AU-NSW"
7617160473,"Riddells Creek Pharmacy","","Station Street","","Riddells Creek","","Victoria","3431","Australia","AU-VIC"
1282403388,"National","","Barry Lane","Melbourne","","","Victoria","3000","Australia","AU-VIC"
4272669571,"Macquarie Specialist Centre","10 B","Highfields Circuit","","","","New South Wales","2444","Australia","AU-NSW"
5313055444,"Viewbank Medical Centre","15-17","Martins Lane","Viewbank","","","Victoria","3084","Australia","AU-VIC"
5213728804,"Springvale Family Healthcare","346","Springvale Road","Springvale","","","Victoria","3171","Australia","AU-VIC"
1946016590,"Calvary Public Hospital Bruce","","Mary Potter Circuit","Bruce","","","","2617","Australia","AU-ACT"
582804454,"","78","Coolbellup Avenue","Coolbellup","","","Western Australia","6163","Australia","AU-WA"
5232007277,"","59","Harris Street","Pyrmont","","","New South Wales","2009","Australia","AU-NSW"
2448019772,"Greg's Discount Chemist","","Beeliar Drive","Cockburn Central","","","Western Australia","6164","Australia","AU-WA"
293127515,"","","Alfred Street","Walkerville","","","South Australia","5081","Australia","AU-SA"
1240415337,"PharmaSave","","Seaford Road","Seaford","","","Victoria","3198","Australia","AU-VIC"
5824764106,"Hampshire Pharmacy","","Hampshire Road","Sunshine","","","Victoria","3020","Australia","AU-VIC"
5500726061,"Bangalow Pharmacy","","Byron Street","","","","New South Wales","2479","Australia","AU-NSW"
7811082197,"","44","Mills Street","Albert Park","","","Victoria","3206","Australia","AU-VIC"
2700725768,"","10-11","Marine Terrace","","","","Tasmania","7320","Australia","AU-TAS"
2124542651,"","","Loading bays","Berwick","","","Victoria","3805","Australia","AU-VIC"
1959962973,"Koutsis Pharmacy","925","High Street","Thornbury","","","Victoria","3071","Australia","AU-VIC"
5795924351,"Samford Doctors Surgery","32","Main Street","","Samford Village","Greater Brisbane","Queensland","4520","Australia","AU-QLD"
6612659291,"Warringah Family medical centre","8","Hilmer Street","","","","New South Wales","2086","Australia","AU-NSW"
2312353217,"Chemist at The Rock","","Urana Street","","","","New South Wales","2655","Australia","AU-NSW"
2037737699,"Grossard Court Home","1A","Leslie Avenue","","","","Victoria","3922","Australia","AU-VIC"
2518408278,"Amcal Pharmacy","","Minerva Lane","","","","New South Wales","2455","Australia","AU-NSW"
2746955843,"Eucla Health Centre","","Patupis Street","","","","Western Australia","","Australia","AU-WA"
4099025132,"","","Station Street","Thornbury","","","Victoria","3078","Australia","AU-VIC"
6094491354,"Coles Express","","Stuart Highway","","Katherine South","","","0850","Australia","AU-NT"
459476486,"Oberon Hospital","","North Street","","","","New South Wales","2787","Australia","AU-NSW"
6731868196,"","74","Doncaster Road","Balwyn North","","","Victoria","3104","Australia","AU-VIC"
4225187054,"","","Grattan Court","Wanniassa","","","","2903","Australia","AU-ACT"
3909127658,"Amcal Rye","2185","Point Nepean Road","Rye","","","Victoria","3941","Australia","AU-VIC"
860203968,"Friendlies Chemist","","Scarborough Beach Road","Doubleview","","","Western Australia","6018","Australia","AU-WA"
611561165,"","463","Bourke Street","Melbourne","","","Victoria","3000","Australia","AU-VIC"
5402587520,"","37","Main Road","Monbulk","","","Victoria","3793","Australia","AU-VIC"
5928461731,"Tong Ren Tang","","Cohen Place","Melbourne","","","Victoria","3000","Australia","AU-VIC"
945250499,"","","Military Road","Grange","","","South Australia","5022","Australia","AU-SA"
4251839623,"","149","West Burleigh Road","Burleigh Heads","Burleigh Waters","","Queensland","4220","Australia","AU-QLD"
7811082196,"","44","Mills Street","Albert Park","","","Victoria","3206","Australia","AU-VIC"
7763325780,"","1306-1312","Pittwater Road","Narrabeen","","","New South Wales","2101","Australia","AU-NSW"
7455564355,"","364","Hampton Street","Hampton","","","Victoria","3188","Australia","AU-VIC"
3062553972,"Kadina Doctor's Surgary","","Lawrence Street","","New Town","","South Australia","5554","Australia","AU-SA"
1339617355,"Roxby Downs Hospital","","Burgoyne Street","","","","South Australia","5725","Australia","AU-SA"
2869784406,"Queensland X-Ray","1985","Logan Road","Upper Mount Gravatt","Upper Mount Gravatt","Greater Brisbane","Queensland","4122","Australia","AU-QLD"
6856369169,"","119-121","Neil Street","","Toowoomba City","","Queensland","4350","Australia","AU-QLD"
3123406333,"Berowra Village Pharmacy","","Turner Road","Berowra Heights","","","New South Wales","2082","Australia","AU-NSW"
3909127669,"","","Bellarine Highway","","","","Victoria","3224","Australia","AU-VIC"
102559725,"","","Roebuck Street","Mile End","","","South Australia","5031","Australia","AU-SA"
2206533088,"","244","High Street","Ashburton","","","Victoria","3147","Australia","AU-VIC"
3688053156,"Medicine on Edison","","Rutherford Street","Wulguru","Wulguru","","Queensland","","Australia","AU-QLD"
7217438098,"P. Moshidis Bridge Road Pharmacy","246","Bridge Road","Richmond","","","Victoria","3121","Australia","AU-VIC"
1442183334,"Augathella Multipurpose Health Service","","Cavanagh Street","","Augathella","","Queensland","4477","Australia","AU-QLD"
1830719427,"","","Peak Downs Highway","","Walkerston","","Queensland","4741","Australia","AU-QLD"
2669348190,"Priceline Pharmacy","","Brantome Street","","","","Victoria","3437","Australia","AU-VIC"
7065551987,"","180","Fairfield Road","Fairfield","Fairfield","Greater Brisbane","Queensland","4103","Australia","AU-QLD"
6743435135,"","6","Waterview Walk","Docklands","","","Victoria","3008","Australia","AU-VIC"
6033569529,"Millenium Medical","","Paisley Street","Footscray","","","Victoria","3011","Australia","AU-VIC"
1582112953,"Tenterfield Medical Centre","","Rouse Street","","","","New South Wales","2372","Australia","AU-NSW"
6059782217,"Radius Medical Centre","","Old Northern Road","","Albany Creek","Greater Brisbane","Queensland","4035","Australia","AU-QLD"
3081150923,"Margaret River Medical Centre","","Bussell Highway","","","","Western Australia","6285","Australia","AU-WA"
21312759,"","11","James Street","","East Toowoomba","","Queensland","4250","Australia","AU-QLD"
2610931668,"The Daily Grind","","Clive Street","","","","Western Australia","6317","Australia","AU-WA"
1828187286,"Stratford Healthcare Pharmacy","","Dixon Street","","Stratford","","Victoria","","Australia","AU-VIC"
6226224607,"","317","Hawthorne Road","Hawthorne","Hawthorne","Greater Brisbane","Queensland","4171","Australia","AU-QLD"
3126906478,"Zeehan Fire Station","","Belstead Street","","","","Tasmania","7469","Australia","AU-TAS"
